Run ID,Timestamp,Phase,Action,Cible,Classe,Resultat,Ultras Restants,Heavies Restants,Duree (s),Notes
R-20260806-1825,2026-08-06 18:25 UTC,0-init,lecture CSV,data/wallets.csv,github,ok,3,24,-,54 lignes
R-20260806-1825,2026-08-06 18:25 UTC,A-refresh,refresh trackers actifs,-,light,ok,3,24,-,"1 tracker actif (Ring gangJEP), pnl 0 rugs 0, aucune ligne wallets.csv liee -- rien a recalculer"
R-20260806-1825,2026-08-06 18:25 UTC,A-refresh,feed signaux recents,-,light,ok,3,24,-,aucune activite sur trackers suivis (7 derniers jours)
R-20260806-1825,2026-08-06 18:25 UTC,B-decouverte,decouverte de wallets recents (B1),-,light,ok,3,24,-,"outil principal de decouverte operationnel ce run (50 wallets score>=90 sur 1035 scannes, fenetre 14j) -- 5 nouveaux absents de wallets.csv"
R-20260806-1825,2026-08-06 18:25 UTC,B-decouverte,gate B1 spray,HNYaRpeWVukv2pDihHQ9B6YA8UzsPf8eC8npWebQGed7,light,gate B1 echouee: spray (dev_tokens=4),3,24,-,
R-20260806-1825,2026-08-06 18:25 UTC,B-decouverte,gate B1 spray,7nUVLZ5xD9hcpWkY8png5AuKifWnjKta6jWewtF54UJG,light,gate B1 echouee: spray (dev_tokens=7),3,24,-,
R-20260806-1825,2026-08-06 18:25 UTC,B-decouverte,gate B1 spray,31KhNoxHnoscN4Ehzd2XE9ntauB5EeAk4L5Uw9s8H6RP,light,gate B1 echouee: spray (dev_tokens=4),3,24,-,
R-20260806-1825,2026-08-06 18:25 UTC,B-decouverte,source de financement (B2),5ua1b1Tv4vz5SDqtX6amcxX5x4Vc3CDkiDeoAAxBVyQD,light,gate B2 echouee: pas de CEX,3,24,-,"funder generique 4ct7br2vTPzfdmY3S5HLtTxcGSBfn6pnw98hsS6v359A, 0.0037 SOL, pas de label exchange"
R-20260806-1825,2026-08-06 18:25 UTC,B-decouverte,source de financement (B2),8oH3mqcWN5aJ6qB3J86SmJoDCywT7qPPhr5CiUp7ANU7,light,gate B2 echouee: pas de CEX,3,24,-,"funder hub 2Vgmp9bTNzvj1D5XaFNdUtNDxaRFH2UGPJXrcUPVGj1B, 154.32 SOL, pas de label exchange"
R-20260806-1825,2026-08-06 18:25 UTC,C-ecriture,commit GitHub,"data/wallets.csv, data/run_log.csv, data/run_summaries.md",github,ok,3,24,-,"patterns.csv inchange ce run -- pas de commit sur ce fichier ; 0 ultra / 0 heavy consommes"
R-20260806-1925,2026-08-06 19:25 UTC,0-init,connexion F Project + GitHub verifiee,-,-,ok,3,24,-,"3 patterns / 54 wallets lus (SHA ok)"
R-20260806-1925,2026-08-06 19:25 UTC,0-init,lecture CSV,data/patterns.csv,github,ok,3,24,-,3 lignes (P-001/P-002/P-003 Ecarte)
R-20260806-1925,2026-08-06 19:25 UTC,0-init,lecture CSV,data/wallets.csv,github,ok,3,24,-,54 lignes
R-20260806-1925,2026-08-06 19:25 UTC,A-refresh,refresh trackers actifs,-,light,ok,3,24,-,"1 tracker actif (Ring gangJEP), pnl 0 rugs 0, aucune ligne wallets.csv liee -- rien a recalculer"
R-20260806-1925,2026-08-06 19:25 UTC,A-refresh,feed signaux recents,-,light,ok,3,24,-,aucune activite sur trackers suivis (7 derniers jours)
R-20260806-1925,2026-08-06 19:25 UTC,B-decouverte,decouverte de wallets recents (B1),-,light,ok,3,24,-,"1034 wallets scannes (14j), 50 au-dessus du seuil 90 -- 4 wallets neufs (hors fenetre anti-redig 7j) apres filtrage des 46 deja connus"
R-20260806-1925,2026-08-06 19:25 UTC,B-decouverte,gate B1 spray,Hp75uShC5Q8UH3sqMNwMHC6n3n3rFy5hVw9YTE1vMvdX,light,gate B1 echouee: spray (dev_tokens=3),3,24,-,
R-20260806-1925,2026-08-06 19:25 UTC,B-decouverte,gate B1 spray,F7ksW7sCgUVy4NCboC9zowG3WtJ9A4aBg7HmmYHpG8EF,light,gate B1 echouee: spray (dev_tokens=11),3,24,-,
R-20260806-1925,2026-08-06 19:25 UTC,B-decouverte,source de financement (B2),811fAKQZCqeSdgkA6i5wpnNPfYdZpT6VWgK14HtJMYLP,light,gate B2 echouee: pas de CEX,3,24,-,"funder direct non labellise (8.23 SOL) ; profil hub/routeur avec flux Binance noye dans le volume (207 SOL/12 tx) -- pas d'evenement hair-thin isole"
R-20260806-1925,2026-08-06 19:25 UTC,B-decouverte,source de financement (B2),AqpkLaRV7fNgDrB2LMsxqFsMBqF4gJioFLhJzHB36YCu,light,gate B2 echouee: pas de CEX,3,24,-,"funder hub generique 8mowmVCEewZ9W2cEaQyQeQEeSxhGr1hvRviLwozwNtBt, 7.89 SOL, pas de label exchange"
R-20260806-1925,2026-08-06 19:25 UTC,C-ecriture,commit GitHub,"data/wallets.csv, data/run_log.csv, data/run_summaries.md",github,ok,3,24,-,"patterns.csv inchange ce run -- pas de commit sur ce fichier ; 0 ultra / 0 heavy consommes"
R-20260806-2026,2026-08-06 20:26 UTC,0-init,connexion F Project + GitHub verifiee,-,-,ok,3,24,-,"3 patterns / 54 wallets lus (SHA ok)"
R-20260806-2026,2026-08-06 20:26 UTC,0-init,lecture CSV,data/patterns.csv,github,ok,3,24,-,3 lignes (P-001/P-002/P-003 Ecarte)
R-20260806-2026,2026-08-06 20:26 UTC,0-init,lecture CSV,data/wallets.csv,github,ok,3,24,-,54 lignes
R-20260806-2026,2026-08-06 20:26 UTC,A-refresh,refresh trackers actifs,-,light,ok,3,24,-,"1 tracker actif (Ring gangJEP), pnl 0 rugs 0, aucune ligne wallets.csv liee -- rien a recalculer"
R-20260806-2026,2026-08-06 20:26 UTC,A-refresh,feed signaux recents,-,light,ok,3,24,-,aucune activite sur trackers suivis (7 derniers jours)
R-20260806-2026,2026-08-06 20:26 UTC,B-decouverte,decouverte de wallets recents (B1),-,light,ok,3,24,-,"1ere tentative deferree (analyste occupe), 2e tentative ok -- 417 wallets scannes (14j), 50 au-dessus du seuil 90 -- 1 seul wallet neuf apres filtrage des 49 deja connus (anti-redig 7j)"
R-20260806-2026,2026-08-06 20:26 UTC,B-decouverte,gate B1 spray,SLURahzredh2LEoFXnteqzvLh16ZjNu9ZLGLUNA3X64,light,gate B1 echouee: spray (dev_tokens=2),3,24,-,
R-20260806-2026,2026-08-06 20:26 UTC,C-ecriture,commit GitHub,data/wallets.csv,github,ok,3,24,-,"commit a3e5626 -- patterns.csv inchange ce run ; 0 ultra / 0 heavy consommes"
R-20260806-2124,2026-08-06 21:24 UTC,0-init,connexion F Project + GitHub verifiee,-,-,ok,3,24,-,"3 patterns / 54 wallets lus (SHA ok)"
R-20260806-2124,2026-08-06 21:24 UTC,0-init,lecture CSV,data/patterns.csv,github,ok,3,24,-,3 lignes (P-001/P-002/P-003 Ecarte)
R-20260806-2124,2026-08-06 21:24 UTC,0-init,lecture CSV,data/wallets.csv,github,ok,3,24,-,54 lignes
R-20260806-2124,2026-08-06 21:24 UTC,A-refresh,refresh trackers actifs,-,light,ok,3,24,-,"1 tracker actif (Ring gangJEP), pnl 0 rugs 0, aucune ligne wallets.csv liee -- rien a recalculer"
R-20260806-2124,2026-08-06 21:24 UTC,A-refresh,feed signaux recents,-,light,ok,3,24,-,aucune activite sur trackers suivis (7 derniers jours)
R-20260806-2124,2026-08-06 21:24 UTC,B-decouverte,decouverte de wallets recents (B1),-,light,erreur: analyste occupe (deferred) apres 3 tentatives,3,24,-,outil principal de decouverte indisponible ce run
R-20260806-2124,2026-08-06 21:24 UTC,B-decouverte,decouverte alternative (createurs recents),-,light,gate B1 echouee: score < 90,3,24,-,"50 createurs recents passes en revue ; meilleur score observe 60 (single-launch, funde par l'exchange deja connu via P-001) -- aucun n'atteint le seuil 90, 0 ultra depense"
R-20260806-2124,2026-08-06 21:24 UTC,C-ecriture,commit GitHub,"data/run_log.csv, data/run_summaries.md",github,ok,3,24,-,"patterns.csv et wallets.csv inchanges ce run -- pas de commit sur ces fichiers"
R-20260806-2224,2026-08-06 22:24 UTC,0-init,connexion F Project + GitHub verifiee,-,-,ok,3,24,-,"3 patterns / 64 wallets lus (SHA ok)"
R-20260806-2224,2026-08-06 22:24 UTC,0-init,lecture CSV,data/patterns.csv,github,ok,3,24,-,3 lignes (P-001/P-002/P-003 Ecarte)
R-20260806-2224,2026-08-06 22:24 UTC,0-init,lecture CSV,data/wallets.csv,github,ok,3,24,-,64 lignes
R-20260806-2224,2026-08-06 22:24 UTC,A-refresh,refresh trackers actifs,-,light,ok,3,24,-,"1 tracker actif (Ring gangJEP), pnl 0 rugs 0, aucune ligne wallets.csv liee -- rien a recalculer"
R-20260806-2224,2026-08-06 22:24 UTC,A-refresh,feed signaux recents,-,light,ok,3,24,-,aucune activite sur trackers suivis (7 derniers jours)
R-20260806-2224,2026-08-06 22:24 UTC,B-decouverte,decouverte de wallets recents (B1),-,light,ok,3,24,-,"1036 wallets scannes (14j), 50 au-dessus du seuil 90 -- 9 wallets neufs apres filtrage des 41 deja connus"
R-20260806-2224,2026-08-06 22:24 UTC,B-decouverte,gate B1 spray,2FMwyRw5CZS5qU6rixeQEH6Sqw48oTAYCrmm2EK5pjza,light,gate B1 echouee: spray (dev_tokens=2),3,24,-,
R-20260806-2224,2026-08-06 22:24 UTC,B-decouverte,gate B1 spray,6k7zyHC7dyype95h5NNWxT8rdY9dMRyEBek2auVDZMAW,light,gate B1 echouee: spray (dev_tokens=3),3,24,-,
R-20260806-2224,2026-08-06 22:24 UTC,B-decouverte,gate B1 spray,BfSsqepXDoqWHFMSGavYbqY8P3MkL9aE41HLTV2Vfbi5,light,gate B1 echouee: spray (dev_tokens=2),3,24,-,
R-20260806-2224,2026-08-06 22:24 UTC,B-decouverte,gate B1 spray,DfdJfVfhEdY3ZuCS5QF1DDMryeyEjH365Cr9ZoLGbXLP,light,gate B1 echouee: spray (dev_tokens=4),3,24,-,
R-20260806-2224,2026-08-06 22:24 UTC,B-decouverte,gate B1 spray,HmdqL6RzwGidqYyXeTHqu68mg3QDCqEnxRwxRxh3dGau,light,gate B1 echouee: spray (dev_tokens=15),3,24,-,
R-20260806-2224,2026-08-06 22:24 UTC,B-decouverte,gate B1 spray,HeGzjHhVebWifFdUj9gZwNKwj7x2Y2ZD81D41rF6ADx1,light,gate B1 echouee: spray (dev_tokens=4),3,24,-,
R-20260806-2224,2026-08-06 22:24 UTC,B-decouverte,gate B1 spray,HoKiWhcU3YBN9f5Uxj1bBLkcWkw5iDEQbPiiU6EnYCwQ,light,gate B1 echouee: spray (dev_tokens=16),3,24,-,
R-20260806-2224,2026-08-06 22:24 UTC,B-decouverte,source de financement (B2),FjeaKDFAgexEPZbAFHwE4cL1MFvn1o6EL1qehcmVStCX,light,gate B2 echouee: pas de CEX,3,24,-,"primary funder 2TR35vZ2gaNdHm5gmpvXARz8Sr84jpz9TjLuHwAHYpx6 (3.5 SOL, scheme mother), 22 inbound funders passes en revue -- aucun label exchange"
R-20260806-2224,2026-08-06 22:24 UTC,B-decouverte,source de financement (B2),2YF4WdLM6s2yKUCarrtBCB1jbjxeHUjoghPrJShDaqvW,light,gate B2 echouee: pas de CEX,3,24,-,"primary funder 4kAsV9ZBCZV6dvgpxxf5Yes2ZKUQ42nJvbwYUeUR9PhS (1.1667 SOL, scheme mother), 7 inbound funders passes en revue -- aucun label exchange"
R-20260806-2224,2026-08-06 22:24 UTC,C-ecriture,commit GitHub,"data/wallets.csv, data/run_log.csv, data/run_summaries.md",github,ok,3,24,-,"commit 9ec419f -- patterns.csv inchange ce run ; 0 ultra / 0 heavy consommes"
R-20260806-2324,2026-08-06 23:24 UTC,0-init,connexion F Project + GitHub verifiee,-,-,ok,3,24,-,"3 patterns / 73 wallets lus (SHA ok)"
R-20260806-2324,2026-08-06 23:24 UTC,0-init,lecture CSV,data/patterns.csv,github,ok,3,24,-,3 lignes (P-001/P-002/P-003 Ecarte)
R-20260806-2324,2026-08-06 23:24 UTC,0-init,lecture CSV,data/wallets.csv,github,ok,3,24,-,73 lignes
R-20260806-2324,2026-08-06 23:24 UTC,A-refresh,refresh trackers actifs,-,light,ok,3,24,-,"1 tracker actif (Ring gangJEP), pnl 0 rugs 0, aucune ligne wallets.csv liee -- rien a recalculer"
R-20260806-2324,2026-08-06 23:24 UTC,A-refresh,feed signaux recents,-,light,ok,3,24,-,aucune activite sur trackers suivis (7 derniers jours)
R-20260806-2324,2026-08-06 23:24 UTC,B-decouverte,decouverte de wallets recents (B1),-,light,ok,3,24,-,"1038 wallets scannes (14j), 50 au-dessus du seuil 90 -- 5 wallets neufs apres filtrage des 45 deja connus"
R-20260806-2324,2026-08-06 23:24 UTC,B-decouverte,gate B1 spray,5uetnDttLykvifT6EnCbnyeyKmksoY8VEvk8CEEQChKZ,light,gate B1 echouee: spray (dev_tokens=2),3,24,-,
R-20260806-2324,2026-08-06 23:24 UTC,B-decouverte,gate B1 spray,QXrQJi5Zn9A5h8rEyZDMg63UznbpL5UVJ398Jw1XH4w,light,gate B1 echouee: spray (dev_tokens=7),3,24,-,
R-20260806-2324,2026-08-06 23:24 UTC,B-decouverte,gate B1 spray,GpKMtVzKvEnZT64rWGRQsKsq3aCXTCKrG7GFErcxXpNw,light,gate B1 echouee: spray (dev_tokens=2),3,24,-,
R-20260806-2324,2026-08-06 23:24 UTC,B-decouverte,gate B1 spray,BoYHJoKntk3pjkaV8qFojEonSPWmWMfQocZTwDd1bcGG,light,gate B1 echouee: spray (dev_tokens=2),3,24,-,
R-20260806-2324,2026-08-06 23:24 UTC,B-decouverte,gate B1 spray,4LXAFVZUUTdcqLCmgHq2NZmgLB2arRxp9wuYVa6rnx5C,light,gate B1 echouee: spray (dev_tokens=9),3,24,-,
R-20260806-2324,2026-08-06 23:24 UTC,C-ecriture,commit GitHub,data/wallets.csv,github,ok,3,24,-,"commit d2a9630 -- patterns.csv inchange ce run ; 0 ultra / 0 heavy consommes"
R-20260807-0029,2026-08-07 00:29 UTC,0-init,connexion F Project + GitHub verifiee,-,-,ok,3,24,-,3 patterns / 78 wallets lus (SHA ok)
R-20260807-0029,2026-08-07 00:29 UTC,0-init,lecture CSV,data/patterns.csv,github,ok,3,24,-,3 lignes (P-001/P-002/P-003 Ecarte)
R-20260807-0029,2026-08-07 00:29 UTC,0-init,lecture CSV,data/wallets.csv,github,ok,3,24,-,78 lignes
R-20260807-0029,2026-08-07 00:29 UTC,A-refresh,refresh trackers actifs,-,light,ok,3,24,-,"1 tracker actif (Ring gangJEP), pnl 0 rugs 0, aucune ligne wallets.csv liee -- rien a recalculer"
R-20260807-0029,2026-08-07 00:29 UTC,A-refresh,feed signaux recents,-,light,ok,3,24,-,aucune activite sur trackers suivis (7 derniers jours)
R-20260807-0029,2026-08-07 00:29 UTC,B-decouverte,decouverte de wallets recents (B1),-,light,ok,3,24,-,"1034 wallets scannes (14j), 159 au-dessus du seuil 90 -- 82 wallets neufs apres filtrage des 77 deja connus (volume nettement superieur aux runs precedents)"
R-20260807-0029,2026-08-07 00:29 UTC,B-decouverte,verification spray+funding (creator intel) 10 candidats dev_tokens=1,-,light,4 spray reel / 6 gate B2 pas de CEX,3,24,-,le champ dev_tokens du scanner de decouverte sous-estimait sur 4/10 (token_count reel 2 a 4) -- verification individuelle necessaire
R-20260807-0029,2026-08-07 00:29 UTC,B-decouverte,gate B1 spray (CEX identifie mais spray),GrhYtk4TycV1dwWXRCxxRgJMS1mkX1HBhipo7Z3556PP,light,gate B1 echouee: spray (3 tokens) malgre funder CEX (exchange),3,24,-,near-miss : funder CEX reel mais createur de 3 tokens -- disqualification immediate (doctrine: spray prioritaire sur CEX/score)
R-20260807-0029,2026-08-07 00:29 UTC,B-decouverte,verification spray (creator intel) 11 candidats dev_tokens=2 (echantillon controle),-,light,11/11 confirmes spray reel,3,24,-,token_count reel de 2 a 46 selon le wallet -- confirme la fiabilite du champ dev_tokens>=2 du scanner pour le reste du lot
R-20260807-0029,2026-08-07 00:29 UTC,B-decouverte,gate B1 spray (CEX identifie mais spray),HV7oqXKNfKQD4jLCivfHDysKnRTz7QwrBJe8wEmsSYyL,light,gate B1 echouee: spray (2 tokens) malgre funder CEX (exchange),3,24,-,2e near-miss du run : funder CEX reel mais createur de 2 tokens -- disqualification immediate
R-20260807-0029,2026-08-07 00:29 UTC,B-decouverte,"gate B1 spray (bulk, dev_tokens>=2 non individuellement verifies)",-,light,71 candidats disqualifies spray,3,24,-,dev_tokens de 2 a 24 selon find_wallets -- fiabilite du champ confirmee par l'echantillon de controle ci-dessus
R-20260807-0029,2026-08-07 00:29 UTC,B-decouverte,"source de financement (B2), 6 candidats spray-free",-,light,gate B2 echouee: pas de CEX (x6),3,24,-,"ZqsbM (funder non resolu), 83taU/9tbGN/6fte9 (funder generique), 8129Ye (hub), EKtQU (funder generique, 156 sibling creators -- launch-farm cluster) -- aucun label exchange"
R-20260807-0029,2026-08-07 00:29 UTC,C-ecriture,commit GitHub,data/wallets.csv,github,ok,3,24,-,"commit c03505f -- +82 lignes (0 Valide, 82 Ecarte) ; patterns.csv inchange ce run ; 0 ultra / 0 heavy consommes"
